coef,any_cx,card_coefs,death_coefs,endo_coefs,gastro_coefs,genit_coefs,hemat_coefs,integ_coefs,neuro_coefs,pulm_coefs,renal_coefs,sepsis_coefs,shock_coefs,vasc_coefs
as.matrix(ccs_dat)cpt_class_1,0.4194,0,1.0611,0,0,0,0,0,0,0.3859,0,0,0,0
as.matrix(ccs_dat)cpt_class_10,0,0,-0.129,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_100,0.2598,0,1.8904,0,0,1.3577,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_101,0.2294,0,0,0,0,2.0159,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_103,0,0,0,0,0,1.3542,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_104,0.2556,0,0.0113,0.216,0.2855,0.206,0,0,0,0.3783,0.2673,0,0,0
as.matrix(ccs_dat)cpt_class_105,1.6344,0,0,2.7684,0.6614,1.3916,0,0.5546,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_106,0.0163,0,0,0,0,0.9517,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_109,0.7866,0,0,0,0,2.297,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_112,0.9316,0,0.3986,0,0.6823,1.6239,0.337,0,0,0.5074,0.0499,0.8135,0,0
as.matrix(ccs_dat)cpt_class_113,1.5805,0,0,0,0,3.2872,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_114,0,0,-0.4647,0,0,0.5654,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_118,0.6052,0,0,0,0,1.8885,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_119,0.1717,0,0,0,0.3058,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_120,0.1376,0,0,0,2.5254,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_121,0,0,0,0,0.0057,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_124,0.439,0,0,0,0.147,0.6615,0,0.1063,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_129,0.1884,0,0,0,0,0.7953,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_13,-0.6043,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_132,0.3835,0,0,0,0,0.8923,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_134,-0.3039,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_14,-0.5201,0,0,0,0,-0.0781,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_141,0,0,0.3623,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_142,0,0,0,0,0,0,0,0,0,0.0843,0,0,0,0
as.matrix(ccs_dat)cpt_class_143,-0.3412,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_146,0.2632,0,0.8639,0,0,0.264,1.0161,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_147,-0.0154,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_15,-0.655,-0.0085,0,0,-0.3785,-0.6248,0,-1.0959,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_151,-0.134,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_152,-0.1712,0,-1.1582,0,0,0,0,0,0,-0.2411,0,0,0,0
as.matrix(ccs_dat)cpt_class_153,0,0,-0.2806,0,-0.0308,0,0,0,0,-0.093,0,0,0,0
as.matrix(ccs_dat)cpt_class_154,-0.4239,0,-0.4591,0,-0.0441,0,0,-0.0678,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_157,0,0,0.6822,0,0,0,0,0.7731,0,0,0,0.4153,0,0
as.matrix(ccs_dat)cpt_class_158,0,0,-0.4479,0,0.089,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_16,-0.4583,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_160,-0.3284,0,-0.0593,0,-0.066,-0.3117,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_161,0,0,-0.0274,0,0,0,0,0.3661,0,0,0,0.517,0,0
as.matrix(ccs_dat)cpt_class_162,-0.0569,0,-0.0625,0,0,-0.1471,0,0,0,0,0,0.1992,0,0
as.matrix(ccs_dat)cpt_class_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_166,-0.284,0,-0.0542,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_168,0.853,0,0,0,0,0,0,2.672,0,0,0,1.212,0,0
as.matrix(ccs_dat)cpt_class_169,0,0,0.5778,0,0,0,0,1.0941,0,0,0,1.0024,0,0
as.matrix(ccs_dat)cpt_class_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_170,0,0,0,0,0,0,0,0,0,0,0,0.5813,0,0
as.matrix(ccs_dat)cpt_class_171,0.5397,0,0,0,0,0,0,1.7567,0,0,0,0.8293,0,0
as.matrix(ccs_dat)cpt_class_172,0.1796,0,0.4836,0,0,0,0.0137,0.7306,0,0.1667,0,0.267,0,0
as.matrix(ccs_dat)cpt_class_174,-0.1129,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_176,2.4559,1.173,0,4.0643,1.1698,0.1494,2.1628,0,0.5691,2.3308,2.0638,0,2.4636,0.6756
as.matrix(ccs_dat)cpt_class_19,-0.3806,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_2,0.0088,0,0.434,0,0,0.1125,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_20,-0.1903,0,0.1837,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_21,-0.1608,0,0.0445,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_214,0,0,0,0,2.8569,3.2245,0,0,0,0.6037,0,0,0,0
as.matrix(ccs_dat)cpt_class_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_244,0,0,-0.2431,0.2731,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_29,0,0,0.5193,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_33,0,0,0,0,0,0,0,-0.1058,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_34,0.8209,0.5923,0.9411,0,0,0,0.3034,0,0.6989,1.8977,0.7304,0.786,0,0.151
as.matrix(ccs_dat)cpt_class_36,0.333,0.7936,0.3791,0,0,0,0,-0.2759,0,0.908,0,0,0,0
as.matrix(ccs_dat)cpt_class_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_42,0.1661,0,0.7801,0,0,0,0.0368,0,0,0.7217,0,0,0,0
as.matrix(ccs_dat)cpt_class_43,0.7008,0.4192,-0.1925,0,0,0.154,1.323,0,0,0.0497,0.7304,-0.113,0.4877,0
as.matrix(ccs_dat)cpt_class_44,1.5561,1.371,0,1.3434,0,0,1.7215,0.5125,0,0.7294,0.5974,0,1.7634,0
as.matrix(ccs_dat)cpt_class_48,1.8864,2.3199,0.582,0,0,0.1606,0,-0.1408,0,0,0.0493,0,0,0
as.matrix(ccs_dat)cpt_class_49,1.0931,1.2178,0.3486,0,0,0,0.4027,0,0,0.3171,0.582,0,0.5873,0
as.matrix(ccs_dat)cpt_class_50,0,0.6298,0.7653,0,0,0,0,0,0,0,0,0,0.9527,0
as.matrix(ccs_dat)cpt_class_51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_52,0.5535,0,0,0,0,0,0.7122,0,0,0,0.162,0,0,0
as.matrix(ccs_dat)cpt_class_53,1.3942,0,0,0,0,0,0,0,0,0,0,0,0,3.4622
as.matrix(ccs_dat)cpt_class_54,-0.0853,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_55,0.7101,0,0,0,0,0,0.2537,1.5068,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_56,0,0,0,0,0.4027,0.3389,0,0,0,0,0.2756,0,0,0
as.matrix(ccs_dat)cpt_class_57,0.0373,0,0.8169,0,0,0,0,0,0,0,0.0232,0.532,0,0
as.matrix(ccs_dat)cpt_class_59,0.7595,0,0,0,0,0,0,0,0.8348,1.2523,0,0,0,0
as.matrix(ccs_dat)cpt_class_6,-0.2572,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_60,0.0694,0,0.7539,0,0,0,0,0,0,0,0,0.2459,0,0
as.matrix(ccs_dat)cpt_class_61,0.2205,0.0072,0.3363,0,0,0,0.5461,0.1719,0,0.4376,0.2057,0.0793,0.2535,0.5901
as.matrix(ccs_dat)cpt_class_63,1.1564,0,0.6765,0,0,0,0.4971,0,0,0.9478,0.165,0.0899,0.0887,2.6467
as.matrix(ccs_dat)cpt_class_66,-0.0159,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_7,0,0,2.2231,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_71,0,0,1.0972,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_72,0.2717,0,0.9672,0,0.2878,0.4197,0,0,0,0,0,0.9476,0,0
as.matrix(ccs_dat)cpt_class_73,0.741,0.3004,0.9066,0,0.7843,0.6227,0,0.1227,0,0.2885,0.6585,0,0,0.3963
as.matrix(ccs_dat)cpt_class_74,0,0,0.977,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_75,0.2369,0,0.4739,0,0.5332,0,0,0.6796,0,0.1194,0.1857,0,0,0
as.matrix(ccs_dat)cpt_class_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_78,0.1912,0,0,0,0.6547,0.107,0,0.5108,0,0.1581,0.0062,0,0,0
as.matrix(ccs_dat)cpt_class_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_80,0.0723,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_84,0.1098,0,0,0,0.6183,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_86,0.2053,0,0,0,0.4302,0,0,0,0,0,0.0268,0,0,0
as.matrix(ccs_dat)cpt_class_87,0,0,0.2247,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_89,0.5481,0,0.5274,0,0.982,0,0,1.0091,0,0.3878,0.5763,1.097,0.4475,0
as.matrix(ccs_dat)cpt_class_9,0.0405,0,0,0,0,0.367,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_90,0.2635,0,0.1666,0,0.1543,0,0,0,0,0.2694,0,0.6893,0,0
as.matrix(ccs_dat)cpt_class_92,0,0,-0.3956,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_94,0.2631,0.5112,0.6336,0.5211,0,0,0,0,0,0.3863,0,0,0,0.0175
as.matrix(ccs_dat)cpt_class_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_96,0.1238,0,0,0,0.2211,0.5529,0,0.8414,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_99,0.2903,0,0.2934,0,0.4936,0,0,0.2285,0,0.3266,0,0,0,0
as.matrix(dis_dat)Alcohol,0.2298,0,0.064,0,0,0,0,0,0.3467,0,0,0,0,0
as.matrix(dis_dat)Anemia,0.2778,0.1229,0.2023,0.0206,0.1629,0.1017,0,0.1674,0.0724,0,0.2365,0.3808,0,0
as.matrix(dis_dat)BloodLoss,0.1424,0,-0.0544,0,0.3522,0,0,0,0,0.0616,0,0,0,0
as.matrix(dis_dat)CHF,0.6383,1.528,0.567,0,0,0.215,0,0,0,0.2845,0.3833,0,0.5025,-0.0151
as.matrix(dis_dat)Coagulopathy,0.1429,0,0.3874,0,0,0.0067,0.4808,0,0.282,0.1842,0.1974,0.2325,0.6187,0.1592
as.matrix(dis_dat)DM,0,0,0.1153,0.3379,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)DMcx,0.1879,0,4.00E-04,0.9826,0,0,0,0,0,0,0.0073,0.1433,0,0
as.matrix(dis_dat)Depression,0.0949,0,0,0,0.101,0.0236,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Drugs,0.1194,0,0.0562,0,0,0,0,0.3261,0,0,0,0,0,0
as.matrix(dis_dat)FluidsLytes,0.5309,0.2981,0.6189,0.2584,0.6447,0.4109,0.5238,0.1121,0.7805,0.9402,0.8784,0.8277,0.4684,0.1726
as.matrix(dis_dat)HIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)HTN,0.1717,0.1621,0,0.1243,0,0.0638,0,0,0,0,0.1486,0,0,0
as.matrix(dis_dat)Hypothyroid,0.0436,0,-0.1423,0,0,0.0894,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Liver,0.0871,0,0.0465,0,0,0.1374,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Lymphoma,0,0,0.7849,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Mets,0.0717,0,1.7371,0,0.2817,0,0,0,0,0.0065,0,0,0,0
as.matrix(dis_dat)NeuroOther,0.2788,0,0.1779,0,0,0.1726,0,0,1.3238,0.3001,0,0.0782,0,0
as.matrix(dis_dat)Obesity,0.0689,0,-0.0398,0.2547,0,0,0,0.0934,0,0,0,0,0,0
as.matrix(dis_dat)PHTN,0.4786,0.1122,0.2848,0,0,0,0,0,0,0.4637,0.1157,0,0.2382,2.3267
as.matrix(dis_dat)PUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)PVD,0.0113,0.1962,0.3419,0,0,0,0.1704,0,0,0,0,0,0,0
as.matrix(dis_dat)Paralysis,0.4376,0,0,0,0,1.1407,0,0,0,0,0,0.2423,0,0
as.matrix(dis_dat)Psychoses,0.0702,0,0,0,0,0,0,0,0,0,0,0.1482,0,0
as.matrix(dis_dat)Pulmonary,0.1484,0.0837,0.2363,0.0046,0,0,0,0,0,0.5165,0,0,0,0
as.matrix(dis_dat)Renal,0.1816,0.0261,0.5439,0,0.2881,0,0,0,0,0,0.8081,0.0187,0,0
as.matrix(dis_dat)Rheumatic,0,0,0.0282,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Tumor,0.0556,0,0.761,0,0.0159,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Valvular,0.3166,0.5688,0.1386,0,0,0.0041,0.0448,0,0,0.1727,0,0,0.027,-0.0645
as.matrix(dis_dat)WeightLoss,0.1851,0,0.4815,0.1123,0.3968,0,0,0,0.1406,0.0978,0.0693,0.3153,0,0.0087
as.matrix(meds_all)ANALGESICS,0.0262,0,0.2308,0,0.0411,0,0,0.0911,0,0,0,0.1002,0,0
as.matrix(meds_all)ANESTHETICS,0,0,0.0938,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)ANTIBIOTICS,0.0852,0,0,0,0,0.1874,0,0.1506,0,0,0,0,0,0
as.matrix(meds_all)ANTICOAGULANTS,0.8748,0.998,0.2074,0,0,0,0,0,0,0,0,0,0,1.2362
as.matrix(meds_all)ANTIHYPERGLYCEMICS,-0.0043,0,0,0.2356,0,0,0,0,0,0,0.0096,0,0,0
as.matrix(meds_all)ANTINEOPLASTICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)ANTIPLATELET DRUGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)ANTIVIRALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)AUTONOMIC DRUGS,0,0,0.1365,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)CARDIAC DRUGS,0.0692,0.3273,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)CARDIOVASCULAR,0,0.0935,-0.1112,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)CNS DRUGS,0.0039,0,0,0,0,0.0129,0,0.2579,0,0,0,0.0386,0,0
as.matrix(meds_all)DIURETICS,0.0295,0.0286,0.0094,0,0,0,0,0,0,0,0.0643,0,0,0
as.matrix(meds_all)HORMONES,0,0,0.0429,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)IMMUNOSUPPRESSANTS,0,0,0,0.2412,0.0147,0,0,0,0,0,0,0,0,0
