coef,any_cx,card_coefs,death_coefs,endo_coefs,etoh_coefs,falls_coefs,gastro_coefs,genit_coefs,hemat_coefs,integ_coefs,neuro_coefs,pulm_coefs,renal_coefs,sepsis_coefs,shock_coefs,vasc_coefs
SMO_STATUSNever Assessed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSNever Smoker,0,0,-0.0897,0,0,0,0,0,0,0,0,-0.0786,0,0,0,0
SMO_STATUSPassive Smoke Exposure - Never Smoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMO_STATUSSmoker, Current Status Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMO_STATUSUnknown If Ever Smoked,0,0,3.0697,0,0,0,0,0,0,0,0,0.1208,0,0,0,0
as.matrix(ccs_dat)cpt_class_1,0.3003,0,1.1328,0,0,0,0,0,0,0,0.5732,0.4268,0,0,0,0
as.matrix(ccs_dat)cpt_class_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_100,0.3654,0,1.3439,0,0,0,0,1.4246,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_101,0,0,0,0,0,0,0,1.844,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_103,0.3499,0,0,0,0,0,0,2.2461,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_104,0.2011,0,0,0,0,0,0.3429,0.3625,0.24,0,0,0.4267,0.3796,0,0,0
as.matrix(ccs_dat)cpt_class_105,1.642,0,-0.0124,3.0524,0,0,0.6346,1.2986,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_106,0,0,0,0,0,0,0,0.8764,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_109,0.8166,0,0,0,0,0,0,2.3558,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_112,0.9323,0,0.2319,0,0,0,0.7548,1.5545,0.6833,0,0.0817,0.6106,0.2569,0.3962,0,0
as.matrix(ccs_dat)cpt_class_113,1.6131,0,0,0,0,0,0,3.359,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_114,0,0,-0.2487,0,0,0,0,0.6301,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_118,0.573,0,0,0,0,0,0,1.9048,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_119,0.2362,0,0,0,0,0,0.0274,0.1578,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_120,0,0,0,0,0,0,1.968,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_124,0.3735,0,0,0,0,0,0.1262,0.6358,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_129,0.1822,0,0,0,0,0,0,0.7622,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_13,-0.5872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_132,0.3395,0,0,0,0,0,0,0.9627,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_134,-0.2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_14,-0.4006,0,0,0,0,0,0,-0.2982,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_142,0,0,0,0,0,0,0,0,0.1383,0,0,0.1493,0,0,0,0
as.matrix(ccs_dat)cpt_class_143,-0.2178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_146,0.2246,0,0.8802,0,0,2.3533,0,0.1413,1.085,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_147,-0.052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_15,-0.6226,-0.0198,0,0,0,0,-0.2101,-0.7184,-0.0628,-0.7098,0,0,-0.0062,0,0,0
as.matrix(ccs_dat)cpt_class_150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_152,-0.2008,0,-0.9088,0,0,0,0,0,-0.093,0,-0.0318,-0.3413,0,0,0,0
as.matrix(ccs_dat)cpt_class_153,-0.0063,0,-0.2192,0,0,0,0,0,0,0,0,-0.1859,0,0,0,0
as.matrix(ccs_dat)cpt_class_154,-0.3832,0,-0.3513,0,0,0,0,0,0,0,-0.0228,-0.0512,0,0,0,0
as.matrix(ccs_dat)cpt_class_157,0,0,0.6483,0,0,0,0,0,0,0.6635,0.1767,0,0,0.2542,0,0
as.matrix(ccs_dat)cpt_class_158,0,0,-0.3117,0,0,0,0,0,0,0,0.0761,0.0289,0,0,0,0
as.matrix(ccs_dat)cpt_class_159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_16,-0.2998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_160,-0.2544,0,-0.0506,0,0,0,0,-0.2779,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_161,0,0,0,0,0,0,0,-0.0405,0,0.1138,0,0,0,0.2973,0,0
as.matrix(ccs_dat)cpt_class_162,0,0,0,0,0,0,0,-0.2747,0,0,0,0,0,0.1112,0,0
as.matrix(ccs_dat)cpt_class_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_166,-0.1616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_168,0.8452,0,0,0,0,0,0,0,0,2.7916,0,0,0,0.9815,0,0
as.matrix(ccs_dat)cpt_class_169,0.0271,0,0.4654,0,0,0,0,0,0,1.1445,0,0,0,0.9472,0,0
as.matrix(ccs_dat)cpt_class_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4433,0,0
as.matrix(ccs_dat)cpt_class_171,0.3846,0,0,0,0,0,0,0,0,1.6234,0,0,0,0.5327,0.0014,0
as.matrix(ccs_dat)cpt_class_172,0.2547,0.0196,0.4351,0,0,0,0,0,0.3035,0.7824,0,0.2761,0,0.2401,0,0
as.matrix(ccs_dat)cpt_class_174,-0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_176,2.4352,1.0833,0,4.0607,0,0,1.1687,0.3029,2.219,0,0.9882,2.3632,2.1185,0,2.3336,0.6456
as.matrix(ccs_dat)cpt_class_19,-0.3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_2,0,0,0,0,0,0,0,0.2145,0,0,0.2231,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_20,-0.1825,0,0,0,0,0,0,-0.003,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_21,-0.1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_214,0,0,0,0,0,0,2.5665,3.6266,1.7603,0,0,0.8689,0,0,0,0
as.matrix(ccs_dat)cpt_class_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_229,0,0,0,0,0,2.8061,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_244,-0.0411,0,-0.0822,0,0,0,0,0,-0.2599,0,0,-0.023,0,0,0,0
as.matrix(ccs_dat)cpt_class_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_29,0,0,0.2769,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_3,0,0,0,0,0,0,0,0.0094,0,0,0.1853,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_33,0,0,0,0,0,0,0,0,0.3041,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_34,0.8899,0.7335,0.9087,0,0,0,0,0.1998,0.3622,0,0.7061,1.9202,0.7547,0.7868,0,0.3182
as.matrix(ccs_dat)cpt_class_36,0.3171,0.7669,0.3568,0,0,0,0,0,0,-0.004,0,0.9343,0,0,0,0
as.matrix(ccs_dat)cpt_class_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1953
as.matrix(ccs_dat)cpt_class_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_42,0.1234,0,0.7799,0,0,0,0,0,0.3603,0,0,0.6284,0,0,0,0
as.matrix(ccs_dat)cpt_class_43,0.7341,0.4502,-0.09,0,0,0,0,0.2294,1.3404,0,0,0.0505,0.7714,-0.0138,0.2435,0
as.matrix(ccs_dat)cpt_class_44,1.5719,1.3537,0,1.286,0,0,0,0,1.8517,0.2787,0.4582,0.7099,0.5704,0,1.7438,0
as.matrix(ccs_dat)cpt_class_48,1.7835,2.2247,0.4788,0,0,0,0,0.0559,0,0,0,0,0.1036,0,0,0
as.matrix(ccs_dat)cpt_class_49,1.0958,1.2452,0.293,0,0,0,0,0,0.3408,0,0,0.6104,0.4217,0,0.592,0
as.matrix(ccs_dat)cpt_class_50,0,0.365,0.4336,0,0,0,0,0,0,0,0,0,0,0,0.9483,0
as.matrix(ccs_dat)cpt_class_51,0,0,0,0,0,0,0,0,0,0,0.4867,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_52,0.4257,0,0,0,0,0,0,0,0.8347,0,0,0,0.2585,0,0,0
as.matrix(ccs_dat)cpt_class_53,1.9135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0818
as.matrix(ccs_dat)cpt_class_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_55,0.4604,0,0,0,0,0,0,0,0.3575,1.463,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_56,0.012,0,0.1124,0,0,0,0.2182,0.4507,0,0,0.5469,0,0.3404,0,0,0
as.matrix(ccs_dat)cpt_class_57,0.0741,0.0861,0.7065,0,0,0,0,0,0,0,0.1498,0.1581,0.144,0.2929,0,0
as.matrix(ccs_dat)cpt_class_59,0.6867,0,0,0,0,0,0,0,0,0,1.6574,1.2085,0,0,0,0
as.matrix(ccs_dat)cpt_class_6,-0.1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_60,0,0,0.541,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_61,0.2056,0,0.2918,0,0,0,0,0,0.5735,0.1389,0,0.3928,0.1889,0,0.1451,0.5333
as.matrix(ccs_dat)cpt_class_63,1.1827,0.009,0.7866,0,0,0,0,0.1272,0.6816,0,0.3599,1.1471,0.5519,0,0,2.5953
as.matrix(ccs_dat)cpt_class_66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_67,0,0,0,0,0,0,0,-0.0415,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_7,0,0,1.8508,0,0,0,0,0,0,0,0.155,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_71,0,0,1.1374,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_72,0.0096,0,1.1176,0,0,0,0.1139,0.1508,0,0,0,0,0,0.7039,0,0
as.matrix(ccs_dat)cpt_class_73,0.7745,0.3889,1.0019,0,0,0,0.6851,0.7525,0,0,0.346,0.3065,0.5775,0,0,0.5604
as.matrix(ccs_dat)cpt_class_74,0,0,0.7141,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_75,0.2296,0,0.5492,0,0,0,0.5259,0,0,0.4723,0,0.1231,0.0927,0.2,0,0
as.matrix(ccs_dat)cpt_class_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_78,0.1284,0,0,0,0,0,0.5815,0,0,0.4957,0,0.1312,0.1666,0,0,0
as.matrix(ccs_dat)cpt_class_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_84,0.1326,0,0,0,0,0,0.6626,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_86,0.2018,0,0,0,0,0,0.4477,0,0,0,0,0,0.2226,0,0,0
as.matrix(ccs_dat)cpt_class_87,0,0,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_89,0.6494,0,0.3682,0,0,0,0.9815,0,0.2744,1.0806,0,0.4128,0.5069,1.0809,0.527,0
as.matrix(ccs_dat)cpt_class_9,0.0056,0,0,0,0,0,0,0.4139,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_90,0,0,0.1095,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_94,0.2101,0.3355,0.5321,0.1816,0,0,0,0,0,0,0,0.3168,0,0,0,0
as.matrix(ccs_dat)cpt_class_95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_96,0.1512,0,0,0,0,0,0.2391,0.7541,0,0.3279,0,0,0,0,0,0
as.matrix(ccs_dat)cpt_class_99,0.316,0,0.2852,0,0,0,0.3704,0,0,0,0,0.3708,0,0,0,0
as.matrix(dis_dat)Alcohol,0.2281,0,0,0,4.4218,0.5089,0,0,0,0,0.75,0,0,0,0,0
as.matrix(dis_dat)Anemia,0.2595,0.082,0.2185,0,0,0.1477,0.1078,0.1549,0,0.1092,0.2177,0,0.3413,0.5098,0.023,0.0333
as.matrix(dis_dat)BloodLoss,0.1324,0,0,0,0,0,0.2254,0,0,0,0,0.0844,0,0,0,0
as.matrix(dis_dat)CHF,0.6474,1.5275,0.5696,0,0,0,0,0.2327,0,0,0,0.2683,0.2538,0,0.5987,-0.0949
as.matrix(dis_dat)Coagulopathy,0.1539,0,0.3508,0,0,0,0,0,0.4842,0,0.2809,0.2309,0.2472,0.1548,0.7459,0.1507
as.matrix(dis_dat)DM,0,0,0.079,0.1197,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)DMcx,0.192,0.0048,0,0.7409,0,0.3809,0,0,0,0,7.00E-04,0,0,0.1661,0,0
as.matrix(dis_dat)Depression,0.0904,0,0,0,0,0.1507,0.1029,0.0222,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Drugs,0.0355,0,0.1019,0,0,0,0,0,0,0.1737,0,0,0,0,0,0
as.matrix(dis_dat)FluidsLytes,0.5281,0.3076,0.6134,0.1407,0,0.0439,0.6318,0.4005,0.5974,0.1472,0.7031,0.9275,0.8686,0.8567,0.3994,0.2014
as.matrix(dis_dat)HIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)HTN,0.1679,0.1592,0,0.0807,0,0,0,0.0423,0,0,0.0909,0,0.1889,0,0,0
as.matrix(dis_dat)Hypothyroid,0.0555,0,-0.0808,0,0,0,0,0.1389,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Liver,0.0948,0,0.0392,0,0,0,0,0.1317,0,0,0.3577,0,0,0,0,0
as.matrix(dis_dat)Lymphoma,0,0,0.7187,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Mets,0.0875,0,1.7523,0,0,0,0.2766,0,0,0,0,0.0475,0,0,0,0
as.matrix(dis_dat)NeuroOther,0.2941,0,0.192,0,0,0.2282,0,0.1836,0,0,1.35,0.3073,0,0.0406,0,0
as.matrix(dis_dat)Obesity,0.0434,0,-0.0321,0.0924,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)PHTN,0.422,0.1646,0.2764,0,0,0,0,0,0.099,0,0,0.4338,0.1786,0,0.3093,2.2822
as.matrix(dis_dat)PUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)PVD,0.0388,0.2127,0.3519,0,0,0,0,0,0.193,0,0.0386,0,0.0494,0,0,0
as.matrix(dis_dat)Paralysis,0.5166,0,0,0,0,0,0,1.2399,0,0,0.7121,0,0,0.3176,0,0
as.matrix(dis_dat)Psychoses,0.1058,0,0,0,0,0,0,0.0912,0,0,0.1136,0,0,0.094,0,0
as.matrix(dis_dat)Pulmonary,0.139,0.0485,0.2026,0,0,0,0,0,0,0,0,0.5292,0,0,0,0
as.matrix(dis_dat)Renal,0.1838,0.0512,0.5334,0,0,0,0.2727,0,0.006,0,0.1644,0,0.7525,0.06,0,0
as.matrix(dis_dat)Rheumatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(dis_dat)Tumor,0.0783,0,0.7513,0,0,0,0.0622,0.0013,0,0,0,0.0094,0,0,0,0
as.matrix(dis_dat)Valvular,0.3116,0.5735,0.1186,0,0,0,0,0,0.0907,0,0.0822,0.1324,0,0,0,-0.0374
as.matrix(dis_dat)WeightLoss,0.2253,0,0.5148,0.0939,0,0,0.4109,0.0014,0,0,0.2016,0.1093,0.0206,0.3069,0,0.0921
as.matrix(meds_all)ANALGESICS,0.0138,0,0.189,0,0,0,0.0253,0.0046,0,0.0423,0,0,0,0.1017,0,0
as.matrix(meds_all)ANESTHETICS,0,0,0.0564,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)ANTIBIOTICS,0.0946,0,0,0,0,0,0,0.2397,0,0.007,0,0,0,0,0,0
as.matrix(meds_all)ANTICOAGULANTS,0.8846,1.0142,0.2069,0,0,0,0,0,0,0,0.0903,0,0,0,0,1.2717
as.matrix(meds_all)ANTIHYPERGLYCEMICS,0,0,0,0.3709,0,0,0,0,0,0,0,0,0.095,0,0,0
as.matrix(meds_all)ANTINEOPLASTICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)ANTIPLATELET DRUGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)ANTIVIRALS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)AUTONOMIC DRUGS,0,0,0.0459,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)CARDIAC DRUGS,0.055,0.3211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)CARDIOVASCULAR,0,0.1322,-0.099,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)CNS DRUGS,0,0,0,0,0,0,0,0.0146,0,0.2036,0.059,0,0,0.001,0,0
as.matrix(meds_all)DIURETICS,0.0062,0.0325,0,0,0,0,0,0,0,0,0,0,0.1131,0,0,0
as.matrix(meds_all)HORMONES,0,0,0.0526,0,0,0,0,0,0,0,0,0,0,0,0,0
as.matrix(meds_all)IMMUNOSUPPRESSANTS,0,0,0,0.1215,0,0,0.003,0,0,0,0,0,0,0,0,0
